customer_id,address_id
10001,1
10002,2
10003,3
10004,4
10005,5
10006,6
10007,7
10008,8
10009,9
10010,10
10011,11
10012,12
10013,13
10014,14
10015,15
10016,16
10017,17
10018,18
10019,19
10020,20
10021,21
10022,22
10023,23
10024,24
10025,25
10026,26
10027,27
10028,28
10029,29
10030,30
10031,31
10032,32
10033,33
10034,34
10035,35
10036,36
10037,37
10038,38
10039,39
10040,40
10041,41
10042,42
10043,43
10044,44
10045,45
10046,46
10047,47
10048,48
10049,49
10050,50
10051,51
10052,52
10053,53
10054,54
10055,55
10056,56
10057,57
10058,58
10059,59
10060,60
10061,61
10062,62
10063,63
10064,64
10065,65
10066,66
10067,67
10068,68
10069,69
10070,70
10071,71
10072,72
10073,73
10074,74
10075,75
10076,76
10077,77
10078,78
10079,79
10080,80
10081,81
10082,82
10083,83
10084,84
10085,85
10086,86
10087,87
10088,88
10089,89
10090,90
10091,91
10092,92
10093,93
10094,94
10095,95
10096,96
10097,97
10098,98
10099,99
10100,100
10101,101
10102,102
10103,103
10104,104
10105,105
10106,106
10107,107
10108,108
10109,109
10110,110
10111,111
10112,112
10113,113
10114,114
10115,115
10116,116
10117,117
10118,118
10119,119
10120,120
10121,121
10122,122
10123,123
10124,124
10125,125
10126,126
10127,127
10128,128
10129,129
10130,130
10131,131
10132,132
10133,133
10134,134
10135,135
10136,136
10137,137
10138,138
10139,139
10140,140
10141,141
10142,142
10143,143
10144,144
10145,145
10146,146
10147,147
10148,148
10149,149
10150,150
10151,151
10152,152
10153,153
10154,154
10155,155
10156,156
10157,157
10158,158
10159,159
10160,160
10161,161
10162,162
10163,163
10164,164
10165,165
10166,166
10167,167
10168,168
10169,169
10170,170
10171,171
10172,172
10173,173
10174,174
10175,175
10176,176
10177,177
10178,178
10179,179
10180,180
10181,181
10182,182
10183,183
10184,184
10185,185
10186,186
10187,187
10188,188
10189,189
10190,190
10191,191
10192,192
10193,193
10194,194
10195,195
10196,196
10197,197
10198,198
10199,199
10200,200
10201,201
10202,202
10203,203
10204,204
10205,205
10206,206
10207,207
10208,208
10209,209
10210,210
10211,211
10212,212
10213,213
10214,214
10215,215
10216,216
10217,217
10218,218
10219,219
10220,220
10221,221
10222,222
10223,223
10224,224
10225,225
10226,226
10227,227
10228,228
10229,229
10230,230
10231,231
10232,232
10233,233
10234,234
10235,235
10236,236
10237,237
10238,238
10239,239
10240,240
10241,241
10242,242
10243,243
10244,244
10245,245
10246,246
10247,247
10248,248
10249,249
10250,250
10251,251
10252,252
10253,253
10254,254
10255,255
10256,256
10257,257
10258,258
10259,259
10260,260
10261,261
10262,262
10263,263
10264,264
10265,265
10266,266
10267,267
10268,268
10269,269
10270,270
10271,271
10272,272
10273,273
10274,274
10275,275
10276,276
10277,277
10278,278
10279,279
10280,280
10281,281
10282,282
10283,283
10284,284
10285,285
10286,286
10287,287
10288,288
10289,289
10290,290
10291,291
10292,292
10293,293
10294,294
10295,295
10296,296
10297,297
10298,298
10299,299
10300,300
10301,301
10302,302
10303,303
10304,304
10305,305
10306,306
10307,307
10308,308
10309,309
10310,310
10311,311
10312,312
10313,313
10314,314
10315,315
10316,316
10317,317
10318,318
10319,319
10320,320
10321,321
10322,322
10323,323
10324,324
10325,325
10326,326
10327,327
10328,328
10329,329
10330,330
10331,331
10332,332
10333,333
10334,334
10335,335
10336,336
10337,337
10338,338
10339,339
10340,340
10341,341
10342,342
10343,343
10344,344
10345,345
10346,346
10347,347
10348,348
10349,349
10350,350
10351,351
10352,352
10353,353
10354,354
10355,355
10356,356
10357,357
10358,358
10359,359
10360,360
10361,361
10362,362
10363,363
10364,364
10365,365
10366,366
10367,367
10368,368
10369,369
10370,370
10371,371
10372,372
10373,373
10374,374
10375,375
10376,376
10377,377
10378,378
10379,379
10380,380
10381,381
10382,382
10383,383
10384,384
10385,385
10386,386
10387,387
10388,388
10389,389
10390,390
10391,391
10392,392
10393,393
10394,394
10395,395
10396,396
10397,397
10398,398
10399,399
10400,400
10401,401
10402,402
10403,403
10404,404
10405,405
10406,406
10407,407
10408,408
10409,409
10410,410
10411,411
10412,412
10413,413
10414,414
10415,415
10416,416
10417,417
10418,418
10419,419
10420,420
10421,421
10422,422
10423,423
10424,424
10425,425
10426,426
10427,427
10428,428
10429,429
10430,430
10431,431
10432,432
10433,433
10434,434
10435,435
10436,436
10437,437
10438,438
10439,439
10440,440
10441,441
10442,442
10443,443
10444,444
10445,445
10446,446
10447,447
10448,448
10449,449
10450,450
10451,451
10452,452
10453,453
10454,454
10455,455
10456,456
10457,457
10458,458
10459,459
10460,460
10461,461
10462,462
10463,463
10464,464
10465,465
10466,466
10467,467
10468,468
10469,469
10470,470
10471,471
10472,472
10473,473
10474,474
10475,475
10476,476
10477,477
10478,478
10479,479
10480,480
10481,481
10482,482
10483,483
10484,484
10485,485
10486,486
10487,487
10488,488
10489,489
10490,490
10491,491
10492,492
10493,493
10494,494
10495,495
10496,496
10497,497
10498,498
10499,499
10500,500
